Site,Name,Lat,Long,Start,End
33119,MACKAY M.O,-21.1172,149.2169,1959-09-01,2024-07-01
300004,MACQUARIE ISLAND,-54.4994,158.9369,1948-04-01,2024-07-01
61428,MAITLAND AIRPORT AWS,-32.7023,151.4881,2016-07-01,2024-07-01
84084,MALLACOOTA,-37.5976,149.7289,1993-04-01,2024-07-01
9977,MANDURAH,-32.5219,115.7119,2001-10-01,2024-07-01
88109,MANGALORE AIRPORT,-36.8886,145.1859,1959-01-01,2024-07-01
61375,MANGROVE MOUNTAIN AWS,-33.2894,151.2107,1994-07-01,2024-07-01
14405,MANINGRIDA AIRPORT,-12.0569,134.2339,2003-10-01,2024-07-01
9573,MANJIMUP,-34.2508,116.145,1957-01-01,2024-07-01
4106,MARBLE BAR,-21.1756,119.7497,2000-09-01,2024-07-01
5008,MARDIE,-21.1906,115.9797,1957-01-01,2024-07-01
31210,MAREEBA AIRPORT,-17.0704,145.4293,2000-06-01,2024-07-01
92124,MARIA ISLAND (POINT LESUEUR),-42.6621,148.0179,2004-05-01,2024-07-01
200704,MARION REEF,-19.0964,152.3892,1972-09-01,2024-07-01
63308,MARRANGAROO (DEFENCE),-33.4346,150.135,2017-12-01,2024-07-01
17126,MARREE AERO,-29.6587,138.0684,1998-07-01,2024-07-01
40126,MARYBOROUGH,-25.5132,152.7152,1957-01-01,2024-07-01
300001,MAWSON,-67.6017,62.8753,1954-02-01,2024-07-01
14704,MCARTHUR RIVER MINE AIRPORT,-16.4423,136.076,1969-01-01,2024-07-01
14274,MCCLUER ISLAND,-11.0468,132.9791,1993-08-01,2024-07-01
7045,MEEKATHARRA AIRPORT,-26.6136,118.5372,1950-04-01,2024-07-01
86338,MELBOURNE (OLYMPIC PARK),-37.8255,144.9816,2013-05-01,2024-07-01
86282,MELBOURNE AIRPORT,-37.6654,144.8322,1970-07-01,2024-07-01
69147,MERIMBULA AIRPORT AWS,-36.9077,149.8989,1998-02-01,2024-07-01
61287,MERRIWA (ROSCOMMON),-32.1852,150.1737,2007-08-01,2024-07-01
200001,MIDDLE PERCY ISLAND,-21.6628,150.2711,1999-01-01,2024-07-01
14041,MIDDLE POINT,-12.605,131.2988,2001-08-01,2024-07-01
76031,MILDURA AIRPORT,-34.2358,142.0867,1946-01-01,2024-07-01
42112,MILES CONSTANCE STREET,-26.6569,150.1819,1997-07-01,2024-07-01
14404,MILINGIMBI AIRPORT,-12.0932,134.8919,2003-03-01,2024-07-01
9281,MILLENDON (SWAN VALLEY),-31.8112,116.0227,2017-05-01,2024-07-01
22031,MINLATON AERO,-34.748,137.5276,2001-04-01,2024-07-01
18195,MINNIPA PIRSA,-32.8427,135.1515,1996-07-01,2024-07-01
69017,MONTAGUE ISLAND LIGHTHOUSE,-36.2519,150.2275,1962-01-01,2024-07-01
17123,MOOMBA AIRPORT,-28.0997,140.1956,1995-06-01,2024-07-01
86077,MOORABBIN AIRPORT,-37.98,145.0962,1971-08-01,2024-07-01
34035,MORANBAH AIRPORT,-22.0644,148.0758,2012-02-01,2024-07-01
8296,MORAWA AIRPORT,-29.2039,116.0247,1997-03-01,2024-07-01
53115,MOREE AERO,-29.4898,149.8471,1995-05-01,2024-07-01
90176,MORTLAKE RACECOURSE,-38.0737,142.7744,1990-01-01,2024-07-01
